active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,pca_summary_value,pca_summary_next
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.4007015352035523e-06,norm_matched,fixed_random,0.05203414708375931,0.05203413963317871,1.0,1,128,7.462455749511719,1.3874943078917568e-06,34,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.583816604282191e-07,-2.3278401575533258e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2642846058952273e-06,norm_matched,fixed_random,0.05203414708375931,0.05203414708375931,1.0,1,128,7.4624552726745605,1.4042539078218397e-06,35,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.3278401575533258e-07,-2.0442476769936144e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.382443315378623e-06,norm_matched,fixed_random,0.05203413963317871,0.05203414708375931,1.0,1,128,7.4624552726745605,1.236758180311881e-06,36,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.0442476769936144e-07,-2.550701815801187e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.242442067450611e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2251186944922665e-06,37,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.550701815801187e-07,-2.6026204756013547e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.228969495059573e-06,norm_matched,fixed_random,0.05203414708375931,0.052034132182598114,1.0,1,128,7.4624552726745605,1.2200765695524751e-06,38,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.6026204756013547e-07,2.4257092357975e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.361699219160073e-06,norm_matched,fixed_random,0.05203413963317871,0.05203414708375931,1.0,1,128,7.462455749511719,1.3632753734782455e-06,39,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.4257092357975e-07,-1.9191898031823744e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3925963457950274e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413963317871,1.0,1,128,7.4624552726745605,1.346485760223004e-06,40,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.9191898031823744e-07,-2.4899837255230046e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2638196267289459e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413590788841,1.0,1,128,7.4624552726745605,1.2064144812029554e-06,41,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.4899837255230046e-07,2.674779731384949e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.4263905541156419e-06,norm_matched,fixed_random,0.05203412473201752,0.052034132182598114,1.0,1,128,7.462455749511719,1.3872055433239439e-06,42,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.674779731384949e-07,-2.3357029340431005e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2628270269487984e-06,norm_matched,fixed_random,0.05203413963317871,0.05203412473201752,1.0,1,128,7.4624552726745605,1.4009400501890923e-06,43,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.3357029340431005e-07,-2.455026913407113e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2632748394025839e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2518897847257904e-06,44,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.455026913407113e-07,-2.485978818169886e-07
