checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds
step27000,27000,256,3,42548, generosity,8,3,0.9793236255645752,1.7581638097763062,15.176712989807129,0.3842291608452797
step27000,27000,256,4,29254, critique,18,4,1.032881259918213,1.7971664667129517,15.625974655151367,0.3547884151339531
step27000,27000,256,5,19211, cabinet,33,5,1.0338324308395386,1.904289960861206,15.598095893859863,0.3889840692281723
step27000,27000,256,6,14290, documented,48,6,1.1303914785385132,1.8972281217575073,16.16300392150879,0.3888267017900944
step27000,27000,256,7,6574, miles,404,7,0.9914361834526062,1.8103867769241333,15.186885833740234,0.4172375276684761
step27000,27000,320,0,21825, clones,2,0,1.024507761001587,1.8937923908233643,15.53110122680664,0.47932010889053345
step27000,27000,320,1,46808, trustworthy,3,1,1.0031534433364868,1.86491858959198,15.359850883483887,0.3832814693450928
step27000,27000,320,2,23778, motive,8,2,1.0228275060653687,1.927747130393982,15.757674217224121,0.38720671832561493
step27000,27000,320,3,42548, generosity,8,3,1.1125080585479736,2.052388906478882,16.50577163696289,0.38377366214990616
step27000,27000,320,4,29254, critique,18,4,1.0116429328918457,1.9544579982757568,15.747090339660645,0.3600506894290447
step27000,27000,320,5,19211, cabinet,33,5,1.033908724784851,2.074357748031616,15.984394073486328,0.3912609629333019
step27000,27000,320,6,14290, documented,48,6,1.0373624563217163,1.949554443359375,15.910719871520996,0.4270288571715355
step27000,27000,320,7,6574, miles,404,7,1.0105409622192383,1.8768587112426758,15.354622840881348,0.3839409798383713
step27000,27000,384,0,21825, clones,2,0,1.0084854364395142,1.977102279663086,15.911691665649414,0.3516463004052639
step27000,27000,384,1,46808, trustworthy,3,1,1.0488048791885376,1.9368687868118286,15.72031021118164,0.3811299502849579
step27000,27000,384,2,23778, motive,8,2,0.9926410913467407,1.8183159828186035,15.164319038391113,0.36629969254136086
step27000,27000,384,3,42548, generosity,8,3,0.9947590231895447,1.8087158203125,15.19519329071045,0.40298740938305855
step27000,27000,384,4,29254, critique,18,4,0.9840868711471558,1.8442732095718384,15.138378143310547,0.3755682483315468
step27000,27000,384,5,19211, cabinet,33,5,1.0062556266784668,1.8610177040100098,15.374561309814453,0.4489142671227455
step27000,27000,384,6,14290, documented,48,6,0.9949803352355957,1.8153831958770752,15.189422607421875,0.5373875722289085
