active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,logit_temperature,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,pca_summary_value,pca_summary_next
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.843920015038748e-07,direct,fixed_random,-0.029894394800066948,-0.029894396662712097,1.0,0,64,1.3519396781921387,3.2358363455387007e-07,20,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796332269815937,-0.06796331677408443
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.0463198779907543e-07,direct,fixed_random,-0.029894400388002396,-0.029894394800066948,1.0,0,64,1.3519397974014282,3.3396048593203886e-07,21,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796331677408443,-0.06796328815787521
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.085622211074224e-07,direct,fixed_random,-0.0298943929374218,-0.029894400388002396,1.0,0,64,1.3519397974014282,3.6239359246792446e-07,22,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796328815787521,-0.06796331703269817
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.572456878624507e-07,direct,fixed_random,-0.029894394800066948,-0.0298943929374218,1.0,0,64,1.3519397974014282,3.335995870656916e-07,23,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796331703269817,-0.06796331943112184
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.7423160159069084e-07,direct,fixed_random,-0.029894400388002396,-0.029894394800066948,1.0,0,64,1.3519397974014282,3.313607237487304e-07,24,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796331943112184,-0.06796339293578889
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.258248485986769e-07,direct,fixed_random,-0.02989439107477665,-0.029894400388002396,1.0,0,64,1.3519397974014282,2.577081090748834e-07,25,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796339293578889,-0.06796338610499798
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.2555475709395978e-07,direct,fixed_random,-0.0298943929374218,-0.02989439107477665,1.0,0,64,1.3519396781921387,2.602497488624067e-07,26,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796338610499798,-0.06796342424591924
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.105192547536717e-07,direct,fixed_random,-0.0298943892121315,-0.0298943929374218,1.0,0,64,1.3519397974014282,2.2621323125804338e-07,27,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796342424591924,-0.06796334519264755
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.764934095011995e-07,direct,fixed_random,-0.02989439107477665,-0.0298943892121315,1.0,0,64,1.3519397974014282,3.0538396345036745e-07,28,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796334519264755,-0.06796334265813248
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.0919963478481804e-07,direct,fixed_random,-0.029894404113292694,-0.02989439107477665,1.0,0,64,1.3519396781921387,3.035625297798106e-07,29,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796334265813248,-0.06796334121804692
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.829042671237403e-07,direct,fixed_random,-0.0298943892121315,-0.029894404113292694,1.0,0,64,1.3519397974014282,3.093487066507805e-07,30,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796334121804692,-0.06796325829902895
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.474003314971924,direct,fixed_random,-0.0350186824798584,-0.00799217913299799,1.0,1,64,4.460566520690918,4.527911186218262,0,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.2823988882406083,-1.6819874543421112
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.6936326026916504,direct,fixed_random,-0.01771547459065914,-0.0350186824798584,1.0,1,64,4.4653520584106445,4.86699104309082,1,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.6819874543421112,-1.7351500299607188
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.9537224769592285,direct,fixed_random,-0.06725647300481796,-0.01771547459065914,1.0,1,64,4.388668060302734,4.805493354797363,2,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.7351500299607188,-1.5187353628067857
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.644378185272217,direct,fixed_random,-0.04426521435379982,-0.06725647300481796,1.0,1,64,4.3427734375,4.723582744598389,3,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.5187353628067857,-0.44931598259428146
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.1859488487243652,direct,fixed_random,-0.04271054267883301,-0.04426521435379982,1.0,1,64,4.221024513244629,3.7648308277130127,4,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.44931598259428146,-0.7631667407328888
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.0926718711853027,direct,fixed_random,-0.029982853680849075,-0.04271054267883301,1.0,1,64,4.292740821838379,4.156603813171387,5,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.7631667407328888,-0.286960192192056
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.661334276199341,direct,fixed_random,-0.049630600959062576,-0.029982853680849075,1.0,1,64,4.104520320892334,3.3567147254943848,6,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.286960192192056,-1.0129732042124642
