checkpoint,tail_start,tail_end,selection_index,token_id,token,wikitext_train_count,frequency_bin,candidate_period,absolute_median,absolute_p95,absolute_max,normalized_median,normalized_p95,normalized_max
step29000,512,1024,1,23778, motive,8,2,117,28.551504135131836,29.624271392822266,29.665584564208984,0.9717790484428406,1.0082917213439941,1.0096979141235352
step29000,512,1024,1,23778, motive,8,2,118,28.144250869750977,30.009693145751953,30.063827514648438,0.9579178094863892,1.0214099884033203,1.0232524871826172
step29000,512,1024,1,23778, motive,8,2,119,27.43437957763672,30.1838321685791,30.245458602905273,0.9337565898895264,1.0273369550704956,1.0294345617294312
step29000,512,1024,1,23778, motive,8,2,120,26.537647247314453,30.10152244567871,30.185020446777344,0.9032354354858398,1.0245355367660522,1.0273774862289429
step29000,512,1024,1,23778, motive,8,2,121,25.574356079101562,29.75811004638672,29.858638763427734,0.8704488277435303,1.0128470659255981,1.0162687301635742
step29000,512,1024,1,23778, motive,8,2,122,24.493810653686523,29.13741111755371,29.24395751953125,0.8336713910102844,0.9917210340499878,0.9953474402427673
step29000,512,1024,1,23778, motive,8,2,123,23.221145629882812,28.1737060546875,28.31917381286621,0.7903549671173096,0.9589203000068665,0.9638714790344238
step29000,512,1024,1,23778, motive,8,2,124,21.750951766967773,26.914079666137695,27.064096450805664,0.7403154373168945,0.9160476922988892,0.9211536645889282
step29000,512,1024,1,23778, motive,8,2,125,20.057851791381836,25.27042579650879,25.464191436767578,0.6826890707015991,0.8601042628288269,0.8666992783546448
step29000,512,1024,1,23778, motive,8,2,126,18.204286575317383,23.312095642089844,23.50511932373047,0.6196011304855347,0.7934505343437195,0.8000202775001526
step29000,512,1024,1,23778, motive,8,2,127,16.122968673706055,20.97443389892578,21.183151245117188,0.5487614274024963,0.7138859033584595,0.7209898233413696
step29000,512,1024,1,23778, motive,8,2,128,13.876540184020996,18.30536651611328,18.502037048339844,0.4723019599914551,0.6230415105819702,0.6297354102134705
step29000,512,1024,2,19211, cabinet,33,5,1,2.8132987022399902,3.8470914363861084,3.903965473175049,0.09597145020961761,0.13123773038387299,0.13317790627479553
step29000,512,1024,2,19211, cabinet,33,5,2,5.58878231048584,7.618324279785156,7.717075824737549,0.19065289199352264,0.2598876357078552,0.2632564306259155
step29000,512,1024,2,19211, cabinet,33,5,3,8.289647102355957,11.207590103149414,11.356147766113281,0.28278881311416626,0.3823300302028656,0.3873978853225708
step29000,512,1024,2,19211, cabinet,33,5,4,10.889287948608398,14.58728313446045,14.750572204589844,0.371471643447876,0.49762317538261414,0.5031935572624207
step29000,512,1024,2,19211, cabinet,33,5,5,13.338089942932129,17.650306701660156,17.84630584716797,0.4550088346004486,0.602113664150238,0.6087998151779175
step29000,512,1024,2,19211, cabinet,33,5,6,15.632281303405762,20.428813934326172,20.606470108032227,0.5332717299461365,0.6968982219696045,0.7029587030410767
step29000,512,1024,2,19211, cabinet,33,5,7,17.752227783203125,22.8214111328125,23.011009216308594,0.6055905222892761,0.7785180807113647,0.7849858999252319
step29000,512,1024,2,19211, cabinet,33,5,8,19.678388595581055,24.884199142456055,25.052221298217773,0.6712985634803772,0.848887026309967,0.8546187877655029
step29000,512,1024,2,19211, cabinet,33,5,9,21.383377075195312,26.577190399169922,26.73313331604004,0.7294617295265198,0.906640887260437,0.9119606018066406
step29000,512,1024,2,19211, cabinet,33,5,10,22.919042587280273,27.930477142333984,28.064529418945312,0.7818486094474792,0.9528061151504517,0.957379162311554
step29000,512,1024,2,19211, cabinet,33,5,11,24.23932456970215,28.938161849975586,29.062339782714844,0.8268880248069763,0.9871817827224731,0.9914179444313049
step29000,512,1024,2,19211, cabinet,33,5,12,25.35569190979004,29.64198875427246,29.745567321777344,0.8649712204933167,1.0111918449401855,1.0147252082824707
step29000,512,1024,2,19211, cabinet,33,5,13,26.315065383911133,30.042818069458008,30.13515853881836,0.8976988196372986,1.0248655080795288,1.0280154943466187
step29000,512,1024,2,19211, cabinet,33,5,14,27.255916595458984,30.180522918701172,30.253803253173828,0.9297945499420166,1.029563069343567,1.0320628881454468
step29000,512,1024,2,19211, cabinet,33,5,15,28.010313034057617,30.072423934936523,30.12490463256836,0.9555296301841736,1.025875449180603,1.0276657342910767
step29000,512,1024,2,19211, cabinet,33,5,16,28.48240852355957,29.731760025024414,29.77351188659668,0.9716344475746155,1.0142542123794556,1.0156785249710083
step29000,512,1024,2,19211, cabinet,33,5,17,28.546916961669922,29.58153533935547,29.625131607055664,0.9738350510597229,1.009129524230957,1.0106167793273926
step29000,512,1024,2,19211, cabinet,33,5,18,28.177885055541992,29.9815616607666,30.039562225341797,0.961246132850647,1.0227757692337036,1.0247544050216675
step29000,512,1024,2,19211, cabinet,33,5,19,27.502674102783203,30.16691017150879,30.23949432373047,0.9382122755050659,1.0290987491607666,1.0315748453140259
