checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step21000,768,1024,1024,2,19211, cabinet,33,5,0.022523770108819008,1.022779345451843,0.024207815527915955
step21000,768,1024,1024,3,6574, miles,404,7,0.029436927288770676,1.0298744764478869,0.03083169460296631
step25000,0,256,256,0,21825, clones,2,0,0.030578412115573883,1.0310507337484738,0.01890045404434204
step25000,0,256,256,1,23778, motive,8,2,0.016739970073103905,1.01688086848588,0.01670110784471035
step25000,0,256,256,2,19211, cabinet,33,5,0.0184832364320755,1.0186551087323377,0.014753126539289951
step25000,0,256,256,3,6574, miles,404,7,0.028299875557422638,1.0287041213945853,0.014488105662167072
step25000,256,512,512,0,21825, clones,2,0,0.02757595106959343,1.0279596867801115,0.01890045404434204
step25000,256,512,512,1,23778, motive,8,2,0.031555116176605225,1.0320582571332522,0.01670110784471035
step25000,256,512,512,2,19211, cabinet,33,5,0.014890818856656551,1.01500223946082,0.014753126539289951
step25000,256,512,512,3,6574, miles,404,7,0.01004516240209341,1.0100957844060345,0.014488105662167072
step25000,512,768,768,0,21825, clones,2,0,0.012997165322303772,1.0130819955948016,0.01890045404434204
step25000,512,768,768,1,23778, motive,8,2,0.007521714549511671,1.0075500737029557,0.01670110784471035
step25000,512,768,768,2,19211, cabinet,33,5,0.007612267509102821,1.0076413144750644,0.014753126539289951
step25000,512,768,768,3,6574, miles,404,7,0.010058986023068428,1.010109747683818,0.014488105662167072
step25000,768,1024,1024,0,21825, clones,2,0,0.0044502923265099525,1.0044602095835125,0.01890045404434204
step25000,768,1024,1024,1,23778, motive,8,2,0.010987628251314163,1.0110482139329315,0.01670110784471035
step25000,768,1024,1024,2,19211, cabinet,33,5,0.018026184290647507,1.018189636614132,0.014753126539289951
step25000,768,1024,1024,3,6574, miles,404,7,0.009548403322696686,1.0095941347638937,0.014488105662167072
step29000,0,256,256,0,21825, clones,2,0,0.009189859963953495,1.009232216377442,0.002354091964662075
step29000,0,256,256,1,23778, motive,8,2,0.0030232027638703585,1.0030277772500509,0.000752018007915467
step29000,0,256,256,2,19211, cabinet,33,5,0.010096428915858269,1.0101475698228872,0.002578534884378314
step29000,0,256,256,3,6574, miles,404,7,0.006660460494458675,1.0066826906884951,0.0016626908909529448
step29000,256,512,512,0,21825, clones,2,0,0.00020348130783531815,1.000203502011561,0.002354091964662075
step29000,256,512,512,1,23778, motive,8,2,0.0011342416983097792,1.001134885193695,0.000752018007915467
step29000,256,512,512,2,19211, cabinet,33,5,0.00027427024906501174,1.0002743078645886,0.002578534884378314
step29000,256,512,512,3,6574, miles,404,7,0.0011924044229090214,1.001193115619713,0.0016626908909529448
step29000,512,768,768,0,21825, clones,2,0,0.0014980928972363472,1.001499215598968,0.002354091964662075
step29000,512,768,768,1,23778, motive,8,2,-0.0003984180511906743,0.9996016613067416,0.000752018007915467
step29000,512,768,768,2,19211, cabinet,33,5,0.0014335437444970012,1.0014345717595068,0.002578534884378314
