checkpoint,training_step,dynamic_step,token_count,token_selection,token_seed,projection_basis,projection_dimension_max,definition,projected_normalized_frobenius_d1_mean,projected_normalized_frobenius_d1_std,projected_normalized_frobenius_d1_median,projected_normalized_frobenius_d1_min,projected_normalized_frobenius_d1_max,projected_normalized_frobenius_d1_sem,projected_normalized_frobenius_d1_ci95_low,projected_normalized_frobenius_d1_ci95_high,projected_normalized_frobenius_d2_mean,projected_normalized_frobenius_d2_std,projected_normalized_frobenius_d2_median,projected_normalized_frobenius_d2_min,projected_normalized_frobenius_d2_max,projected_normalized_frobenius_d2_sem,projected_normalized_frobenius_d2_ci95_low,projected_normalized_frobenius_d2_ci95_high,projected_normalized_frobenius_d3_mean,projected_normalized_frobenius_d3_std,projected_normalized_frobenius_d3_median,projected_normalized_frobenius_d3_min,projected_normalized_frobenius_d3_max,projected_normalized_frobenius_d3_sem,projected_normalized_frobenius_d3_ci95_low,projected_normalized_frobenius_d3_ci95_high,projected_normalized_frobenius_d4_mean,projected_normalized_frobenius_d4_std,projected_normalized_frobenius_d4_median,projected_normalized_frobenius_d4_min,projected_normalized_frobenius_d4_max,projected_normalized_frobenius_d4_sem,projected_normalized_frobenius_d4_ci95_low,projected_normalized_frobenius_d4_ci95_high
step17000,17000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3352694272994995,6.54654477754887e-05,0.3352679908275604,0.3350028097629547,0.33545196056365967,6.54654477754887e-06,0.33525659607173547,0.3352822585272635,0.3295207844573627,5.549818822540256e-05,0.32951723904531427,0.3293044550224484,0.3296919857320459,5.549818822540256e-06,0.32950990681247055,0.3295316621022549,0.3087947280575786,6.62090705021373e-05,0.30879010054011524,0.30853970640047623,0.3090103135247857,6.6209070502137305e-06,0.3087817510797602,0.30880770503539706,0.307206087881867,6.947540935355813e-05,0.30720110870943074,0.3069304409319792,0.3074296158990021,6.947540935355812e-06,0.3071924707016337,0.3072197050621003
step18000,18000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.36932315737009047,0.012973670126709424,0.3720707297325134,0.333147794008255,0.3971138894557953,0.0012973670126709424,0.3667803180252554,0.37186599671492554,0.3539413634859047,0.009638376591719271,0.35443953777155934,0.3219170203680019,0.3785673516601994,0.0009638376591719272,0.35205224167392773,0.3558304852978817,0.33541305171161234,0.009616918915622833,0.33584955410482986,0.30360305472194277,0.3585937592294384,0.0009616918915622833,0.3335281356041503,0.3372979678190744,0.32855416599390147,0.010485604449550557,0.3297539513050385,0.29804275196072066,0.35425736352172893,0.0010485604449550557,0.3264989875217896,0.33060934446601337
step19000,19000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.34954225838184355,0.004041169230189696,0.35008402168750763,0.3411250710487366,0.3584478199481964,0.0004041169230189696,0.3487501892127264,0.3503343275509607,0.33775841229984543,0.0024821084093102825,0.33792841522822037,0.3334823412537998,0.34538053357665927,0.0002482108409310283,0.33727191905162063,0.33824490554807024,0.31834618876779075,0.0037594072688632223,0.31829648793441867,0.3127093038311036,0.3282391092573555,0.00037594072688632225,0.31760934494309356,0.31908303259248794,0.3119538703644487,0.0037910594909583515,0.3120198351378441,0.3061986257857812,0.32313129330942064,0.00037910594909583515,0.3112108227042209,0.31269691802467653
step20000,20000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.35835329443216324,0.010598240531241478,0.3596828281879425,0.3189716339111328,0.3893161118030548,0.0010598240531241479,0.3562760392880399,0.36043054957628656,0.3473483592983312,0.010313854622720397,0.349214698420387,0.3216946356496735,0.3720379192255443,0.0010313854622720398,0.345326843792278,0.34936987480438436,0.33148116868422967,0.011652830541705036,0.33214399137563433,0.3029629027455041,0.354506630418332,0.0011652830541705036,0.32919721389805545,0.3337651234704039,0.32611881178406926,0.012064802069691762,0.3269936273492575,0.2995604772332488,0.348807638753812,0.0012064802069691762,0.3237541105784097,0.32848351298972883
step21000,21000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.36133614867925645,0.018684597945211347,0.3586967885494232,0.3269801437854767,0.4726209342479706,0.0018684597945211347,0.35767396748199504,0.36499832987651787,0.35039654316187885,0.019158857067109795,0.3486178287205106,0.3201042565058762,0.47772499549115527,0.0019158857067109794,0.3466414071767253,0.3541516791470324,0.330821724437756,0.01889542831000049,0.3253635138453833,0.3073886218187256,0.4573813238535895,0.0018895428310000489,0.32711822048899586,0.3345252283865161,0.32847393421345017,0.019649214958761957,0.32439851488394233,0.29948309732311174,0.4558660610221162,0.0019649214958761957,0.32462268808153283,0.3323251803453675
step22000,22000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.34144592911005023,0.005135402641139215,0.34230516850948334,0.31293681263923645,0.35023099184036255,0.0005135402641139215,0.34043939019238695,0.3424524680277135,0.3362360381882519,0.005252292414032901,0.3351160855291704,0.3146351973748233,0.3507380358759035,0.0005252292414032901,0.3352065888751014,0.33726548750140234,0.3184549048285954,0.004760478232830488,0.3175418837739593,0.2990111720175727,0.33215243774798253,0.0004760478232830488,0.3175218510949606,0.3193879585622302,0.3075374121296639,0.0050241697302031325,0.3061757351644139,0.29436947592579,0.3233826601897124,0.0005024169730203133,0.30655267486254406,0.30852214939678374
step23000,23000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3569699838757515,0.013469040224352094,0.3602076768875122,0.3387693762779236,0.38112422823905945,0.0013469040224352094,0.3543300519917785,0.3596099157597245,0.3480623699110526,0.01065001155998752,0.34970431033636523,0.33575935428699083,0.3681295869651909,0.001065001155998752,0.34597496764529506,0.35014977217681015,0.3269615570358478,0.010746854342443882,0.33093550298507046,0.3133725688889953,0.34579409045480963,0.0010746854342443882,0.32485517358472876,0.3290679404869668,0.3226144249142308,0.010812888504004579,0.32200368972991245,0.3100932225259575,0.3423941174617989,0.0010812888504004579,0.3204950987674459,0.3247337510610157
step24000,24000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3441165268421173,1.233765100973688e-06,0.34411682188510895,0.34411150217056274,0.3441183865070343,1.233765100973688e-07,0.34411628502415753,0.34411676866007707,0.34003509245461416,1.151725794378432e-06,0.340035346805708,0.34003072354833613,0.3400369824320952,1.1517257943784319e-07,0.34003486671635846,0.34003531819286986,0.323443003124241,1.1061416635871985e-06,0.3234432641880084,0.32343816059135416,0.3234445251683066,1.1061416635871985e-07,0.32344278632047496,0.32344321992800706,0.31541943997920446,1.3208737205094923e-06,0.3154197946687258,0.31541378692381605,0.31542132051788613,1.3208737205094923e-07,0.31541918108795525,0.3154196988704537
step25000,25000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.36223030388355254,0.009914643036649764,0.360143706202507,0.3319239020347595,0.3839073181152344,0.0009914643036649765,0.3602870338483692,0.3641735739187359,0.3423018715803821,0.008709852339154665,0.3400261949828016,0.32585516174835877,0.3667815016015135,0.0008709852339154665,0.3405947405219078,0.3440090026388564,0.32383944167739,0.009155377219873384,0.3209737395423157,0.3125545502191595,0.3533700282339861,0.0009155377219873384,0.3220449877422948,0.3256338956124852,0.31857107772019894,0.008237163915133397,0.31621858256650326,0.300591927386847,0.3438763121504229,0.0008237163915133397,0.3169565935928328,0.3201855618475651
step26000,26000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3539252269268036,3.167605514083903e-08,0.3539252281188965,0.3539251685142517,0.35392528772354126,3.1676055140839032e-09,0.3539252207182968,0.35392523313531044,0.3390384646499299,2.45940583221895e-08,0.3390384680086176,0.33903840858774575,0.3390385270271471,2.4594058322189498e-09,0.3390384598294945,0.33903846947036537,0.32131356334625827,2.382282405616747e-08,0.32131356144937795,0.3213135126574028,0.3213136282356664,2.382282405616747e-09,0.32131355867698475,0.3213135680155318,0.31180738780829514,2.221153040609781e-08,0.3118073898483788,0.3118073457535081,0.3118074423728207,2.221153040609781e-09,0.31180738345483516,0.3118073921617551
step27000,27000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3640714508295059,0.004259365245198292,0.3644957095384598,0.33305245637893677,0.3754742443561554,0.00042593652451982923,0.36323661524144707,0.3649062864175648,0.337474578118753,0.002653202586717405,0.3374558058270871,0.3223827699909192,0.34582694552823046,0.0002653202586717405,0.33695455041175637,0.3379946058257496,0.3208859151940942,0.0022107608360059515,0.3209666201840059,0.31006603252715403,0.3284622999336982,0.00022107608360059515,0.32045260607023707,0.32131922431795135,0.31826583724055874,0.002921925869609828,0.31838838312980156,0.302197971537928,0.3261123779226398,0.0002921925869609828,0.3176931397701152,0.31883853471100226
step28000,28000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.377378394305706,3.442709336909345e-08,0.3773784041404724,0.37737828493118286,0.3773784637451172,3.442709336909345e-09,0.37737838755799574,0.3773784010534163,0.33818024821733483,2.7030967043350572e-08,0.3381802444814879,0.3381801978819565,0.3381803290846965,2.7030967043350572e-09,0.3381802429192653,0.33818025351540437,0.31997529230776317,2.1821548914425813e-08,0.3199752929928331,0.31997524611402023,0.31997534499392094,2.1821548914425815e-09,0.3199752880307396,0.31997529658478674,0.31595397265838604,2.2091565108280484e-08,0.31595397313291324,0.3159539300862766,0.31595402709150283,2.2091565108280485e-09,0.3159539683284393,0.3159539769883328
step29000,29000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.35849412888288495,0.005578265989657669,0.3588658422231674,0.341570109128952,0.3643426299095154,0.0005578265989657669,0.35740078874891207,0.35958746901685784,0.3355519169717223,0.0033095140186891843,0.3353846928289349,0.32826530795490216,0.3398953376309114,0.0003309514018689184,0.33490325222405926,0.3362005817193854,0.32556237817941097,0.0029848508846048467,0.32574119770509136,0.3201613379845801,0.33024992063487,0.0002984850884604847,0.3249773474060284,0.32614740895279354,0.31950753345547733,0.003543909213917979,0.31977752256331227,0.3120914914271721,0.3250890944508411,0.0003543909213917979,0.3188129272495494,0.32020213966140526
step30000,30000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3853090545535088,0.012832093269938297,0.38063089549541473,0.36696159839630127,0.41214239597320557,0.0012832093269938296,0.3827939642726009,0.3878241448344167,0.3605097178398009,0.010719691652293608,0.35826361754758884,0.34472953362594566,0.3833285760966959,0.0010719691652293609,0.35840865827595136,0.36261077740365044,0.3379045590969293,0.011743542048082622,0.33517046174309545,0.3209301797631462,0.36114822166188626,0.0011743542048082622,0.3356028248555051,0.3402062933383535,0.33479838126501305,0.010788677092644063,0.3325306526288585,0.31901307298242704,0.3570253280985445,0.0010788677092644062,0.3326838005548548,0.3369129619751713
step31000,31000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.37289139270782473,0.009495892681913113,0.3736846297979355,0.3419867753982544,0.39137500524520874,0.0009495892681913113,0.3710301977421698,0.3747525876734797,0.3598968886525952,0.008830013786197029,0.36036145545205844,0.32765051033392834,0.37579257109681685,0.0008830013786197029,0.3581662059505006,0.36162757135468987,0.34325097377430736,0.009091114278689607,0.34465569463060575,0.3091526575316499,0.35656111135905183,0.0009091114278689607,0.3414691153756842,0.3450328321729305,0.34107686905082946,0.008470279648351044,0.3428904888124926,0.30743908120373503,0.3535981576902384,0.0008470279648351044,0.3394166942397526,0.3427370438619063
step32000,32000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3726817759871483,0.008311885045470695,0.3672633022069931,0.35946372151374817,0.39292019605636597,0.0008311885045470694,0.37105264651823605,0.37431090545606055,0.34376286052648763,0.009463345772053502,0.3426070868938262,0.3342461646763551,0.3622634124027994,0.0009463345772053502,0.3419080447551652,0.3456176762978101,0.32607800067214776,0.009322658381716434,0.32539371685374674,0.31643111072684055,0.3428571751712159,0.0009322658381716434,0.32425075962933136,0.32790524171496416,0.32455911865852805,0.008414177500033544,0.32281509903382766,0.3160764644834442,0.34023190669061654,0.0008414177500033545,0.32290993986852146,0.32620829744853463
step33000,33000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.38133846402168275,0.012259005527100283,0.3816569447517395,0.34068936109542847,0.41985368728637695,0.0012259005527100284,0.3789356989383711,0.3837412291049944,0.3590236906290889,0.009718409396243978,0.3573421073444263,0.31932469125073737,0.3917097849565156,0.0009718409396243978,0.35711888238742506,0.36092849887075273,0.3390930563657574,0.009206009075130122,0.3378577206929365,0.30187566122666815,0.37231786179470855,0.0009206009075130122,0.3372886785870319,0.34089743414448287,0.3378392333700591,0.00933461782945843,0.3377810242250259,0.29878859597532637,0.3695222716325605,0.000933461782945843,0.33600964827548524,0.339668818464633
step34000,34000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.35197701811790466,3.709270973666111e-08,0.35197702050209045,0.3519769310951233,0.3519771099090576,3.709270973666111e-09,0.35197701084773353,0.3519770253880758,0.3314524497895481,3.0395358037080135e-08,0.33145244829338116,0.33145237144556955,0.3314525242597173,3.0395358037080136e-09,0.3314524438320579,0.33145245574703824,0.3127223438583993,2.5204621941476434e-08,0.31272234204201593,0.31272228619773584,0.3127224116220518,2.5204621941476435e-09,0.31272233891829343,0.3127223487985052,0.3125546268896852,2.6377053464479208e-08,0.31255462225241243,0.3125545604619301,0.31255470214931036,2.6377053464479208e-09,0.3125546217197827,0.3125546320595877
step35000,35000,1024,100,Experiment 20 paired WikiText-2 frequency-decile tokens,190905176,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3763413533568382,0.0037406260783970934,0.3754256069660187,0.36701804399490356,0.3982740640640259,0.0003740626078397093,0.3756081906454724,0.377074516068204,0.3491173171366503,0.005554664442551673,0.3469442968750912,0.3449992740032467,0.37083329997187153,0.0005554664442551673,0.34802860290591014,0.3502060313673904,0.3331857067898113,0.005054666235000685,0.33127808571428063,0.3294084703547873,0.35516981851588114,0.0005054666235000685,0.33219499220775117,0.3341764213718714,0.3299305219262665,0.005571248462653901,0.32778407574430246,0.32610359961545604,0.35177299631851394,0.0005571248462653901,0.3288385572275863,0.33102248662494665
