checkpoint,training_step,dynamic_step,token_count,token_selection,token_seed,spectral_radius_mean,spectral_radius_std,spectral_radius_median,spectral_radius_min,spectral_radius_max,spectral_radius_sem,spectral_radius_ci95_low,spectral_radius_ci95_high,lyapunov_exponent_last_256_mean,lyapunov_exponent_last_256_std,lyapunov_exponent_last_256_median,lyapunov_exponent_last_256_min,lyapunov_exponent_last_256_max,lyapunov_exponent_last_256_sem,lyapunov_exponent_last_256_ci95_low,lyapunov_exponent_last_256_ci95_high,lyapunov_exponent_0_1024_mean,lyapunov_exponent_0_1024_std,lyapunov_exponent_0_1024_median,lyapunov_exponent_0_1024_min,lyapunov_exponent_0_1024_max,lyapunov_exponent_0_1024_sem,lyapunov_exponent_0_1024_ci95_low,lyapunov_exponent_0_1024_ci95_high,normalized_frobenius_norm_mean,normalized_frobenius_norm_std,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max,normalized_frobenius_norm_sem,normalized_frobenius_norm_ci95_low,normalized_frobenius_norm_ci95_high
step0,0,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.024472331404686,0.02638753591994198,1.025173306465149,0.9574209451675415,1.086743950843811,0.002638753591994198,1.0193003743643774,1.0296442884449946,0.009188897198530374,0.007429583968077974,0.00881191654150305,-0.0028799255290389405,0.03239421384246665,0.0007429583968077974,0.007732698740787091,0.010645095656273657,0.013223399163604932,0.0038588720495693137,0.013549681803965322,0.0033695616324025514,0.02315611724656695,0.0003858872049569314,0.012467060241889346,0.013979738085320518,0.6805381894111633,0.012837713706964578,0.6805380582809448,0.6507979035377502,0.7165924310684204,0.0012837713706964579,0.6780219975245982,0.6830543812977283
step25000,25000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0170472991466522,0.028451677145042636,1.0085777640342712,0.9781212210655212,1.1136410236358643,0.0028451677145042635,1.0114707704262238,1.0226238278670805,0.008164186226362707,0.0086261300106179,0.006886024928299416,-0.008984327374965684,0.0368988556384924,0.00086261300106179,0.006473464744281598,0.009854907708443815,0.015344594634653161,0.005249043026614021,0.015170780760756866,0.005183955762649613,0.025787170010079935,0.0005249043026614021,0.014315782201436813,0.016373407067869508,0.6869567757844925,0.021790711258394362,0.6823750138282776,0.6517624855041504,0.7551603317260742,0.0021790711258394364,0.6826857963778472,0.6912277551911379
step27000,27000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0135040920972824,0.018082512869757057,1.0135826468467712,0.9856751561164856,1.068742275238037,0.0018082512869757057,1.0099599195748101,1.0170482646197547,0.002083515881529127,0.005199907236365178,0.00082391003161746,-0.006835186144519373,0.029986963018496245,0.0005199907236365178,0.001064334063201552,0.003102697699856702,0.008429264320686698,0.004194681811997164,0.007458580309053334,0.0005847097226270031,0.021260745304622825,0.00041946818119971646,0.007607106685535254,0.009251421955838142,0.6836457300186157,0.006965743026332733,0.6856117248535156,0.6726437211036682,0.7052174210548401,0.0006965743026332733,0.6822804443854545,0.6850110156517769
step28000,28000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9856003630161285,1.454946889056279e-06,0.9856001734733582,0.9855966567993164,0.9856043457984924,1.454946889056279e-07,0.9856000778465382,0.9856006481857188,-0.014522140655826308,0.00015354556261815957,-0.014538421645058003,-0.014721221638264413,-0.014290103746620757,1.5354556261815956e-05,-0.014552235586099466,-0.014492045725553149,-0.010567171034819028,0.0010512911604738861,-0.01050864761591044,-0.013356323036666283,-0.007020163093515335,0.0001051291160473886,-0.01077322410227191,-0.010361117967366147,0.6684108626842499,4.6541151298239703e-08,0.6684108376502991,0.6684107780456543,0.6684109568595886,4.654115129823971e-09,0.6684108535621842,0.6684108718063155
step29000,29000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0142713803052903,0.02357820778364613,1.0224987268447876,0.9387297034263611,1.0453425645828247,0.0023578207783646133,1.0096500515796956,1.018892709030885,-0.0006800180053962247,0.0008381248279552103,-0.0009779387531157308,-0.0014918508832069428,0.0015661734682987333,8.381248279552104e-05,-0.0008442904716754459,-0.0005157455391170035,0.00208525913088148,0.0010232666810003174,0.0021000418877078018,-0.0009257832910580351,0.004472795014301914,0.00010232666810003174,0.0018846988614054179,0.0022858194003575424,0.6874536961317063,0.010152660811332875,0.6910787522792816,0.6538081765174866,0.6953455209732056,0.0010152660811332875,0.685463774612685,0.6894436176507275
step33000,33000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0521895068883895,0.03974119682470531,1.0565358400344849,0.9862608909606934,1.2926061153411865,0.003974119682470531,1.0444002323107473,1.0599787814660317,0.01626553653957879,0.008062499478453184,0.01470208211491457,-0.007066578407429448,0.03659006873410331,0.0008062499478453184,0.014685286641801965,0.017845786437355612,0.019459513615486975,0.004280484331046009,0.019099517906330125,0.00971025719330171,0.03215780408153031,0.00042804843310460095,0.01862053868660196,0.020298488544371992,0.701251277923584,0.019486104021788252,0.7020503878593445,0.6602329611778259,0.7771964073181152,0.0019486104021788253,0.6974320015353135,0.7050705543118545
step37000,37000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0181365096569062,0.022111009474176536,1.020486056804657,0.9418238401412964,1.1018528938293457,0.0022111009474176536,1.0138027517999675,1.0224702675138448,0.007624832686388032,0.007899056332521678,0.0070350436620092265,-0.011471553951672892,0.025696246087827265,0.0007899056332521679,0.006076617645213783,0.009173047727562281,0.00855862534868531,0.0036099189352520682,0.007942515594069235,-0.0003252998961235837,0.01750390658596921,0.0003609918935252068,0.007851081237375905,0.009266169459994715,0.6926481783390045,0.012885152570921292,0.6900061964988708,0.6736117005348206,0.7453634738922119,0.0012885152570921291,0.6901226884351039,0.695173668242905
step39000,39000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9737792265415192,0.009023027072927537,0.972497433423996,0.9717547297477722,1.0521602630615234,0.0009023027072927537,0.9720107132352254,0.975547739847813,-0.026452563546291347,0.007439795236645909,-0.02791564240073041,-0.03633789258813594,0.021357523682563745,0.0007439795236645909,-0.027910763412673945,-0.02499436367990875,-0.009932380918259013,0.010284653551884185,-0.0138589577440518,-0.021443783719078263,0.021152316988330134,0.0010284653551884185,-0.011948173014428314,-0.007916588822089713,0.6747502106428146,0.002194518890312694,0.6744163036346436,0.6743130683898926,0.6936625838279724,0.0002194518890312694,0.6743200849403133,0.6751803363453159
step40000,40000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0296677154302598,0.026122280673903812,1.030039131641388,0.9842203259468079,1.0698091983795166,0.0026122280673903813,1.0245477484181746,1.034787682442345,7.262673612314175e-05,0.0005165751012058673,-1.8866926738904277e-05,-0.001440958307260498,0.003121742157620621,5.1657510120586726e-05,-2.862198371320823e-05,0.00017387545595949172,0.004376679494251534,0.0018201010927631491,0.0043712053497600685,-0.0015618414337464385,0.011827664268542716,0.0001820101092763149,0.004019939680069957,0.0047334193084331115,0.6849009764194488,0.013121630699946093,0.6859300136566162,0.6629425287246704,0.7057286500930786,0.0013121630699946094,0.6823291368022594,0.6874728160366382
step41000,41000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.054608042240143,0.06968502174989888,1.0205731987953186,0.9701499938964844,1.1932309865951538,0.006968502174989888,1.0409497779771628,1.068266306503123,0.00010455270561494501,0.0007048058875383087,2.0060542158652277e-05,-0.0015251767660835634,0.0015951893965431602,7.048058875383086e-05,-3.358924834256348e-05,0.00024269465957245352,0.003532166907681288,0.0015253251231747427,0.0036243080839381417,-0.0009415006868009881,0.0087532542863666,0.00015253251231747426,0.0032332031835390386,0.0038311306318235374,0.6849108948965941,0.0207494088959081,0.6744685567276507,0.6521939051427947,0.7170047999719369,0.0020749408895908102,0.680844010752996,0.6889777790401921
step53000,53000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0749511444568634,0.05952848373666067,1.1052666902542114,0.9120830297470093,1.129904866218567,0.005952848373666067,1.0632835616444778,1.086618727269249,0.0005345816516959304,0.0020244265722385475,0.0004887304597405555,-0.006464218862869491,0.007338113130167648,0.00020244265722385476,0.00013779404353717506,0.0009313692598546858,0.003237357424645621,0.0018616451500046195,0.0031743110674807727,-0.004811567031827244,0.007468355219508661,0.00018616451500046196,0.0028724749752447156,0.0036022398740465263,0.6690649927308292,0.02032073428743278,0.6787848576304999,0.6116852203398221,0.6984620832353265,0.002032073428743278,0.6650821288104923,0.6730478566511661
step57000,57000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9816688483953476,0.07034988517472361,0.9654870927333832,0.9267550706863403,1.275848150253296,0.007034988517472361,0.9678802709011018,0.9954574258895934,0.003472714741078222,0.003575873821829975,0.0038418346682332384,-0.0066936183579052394,0.008760967690196944,0.0003575873821829975,0.0027718434719995466,0.004173586010156897,0.002822623486455785,0.0014345673029162087,0.0029552049459815777,-0.0044811777495506805,0.005781705420080186,0.00014345673029162088,0.0025414482950842083,0.003103798677827362,0.6046446242779616,0.015895382516497157,0.6090796810914544,0.5744542959455418,0.6733113728549356,0.0015895382516497158,0.6015291293047281,0.6077601192511951
step58000,58000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9631078571081162,1.6710869630358174e-06,0.963107705116272,0.9631041884422302,0.9631116986274719,1.6710869630358174e-07,0.9631075295750714,0.963108184641161,-0.03759050485808747,3.7879720562629663e-06,-0.03759054432162819,-0.03762045096423506,-0.0375703367742752,3.7879720562629664e-07,-0.0375912473006105,-0.03758976241556444,-0.03691687035760089,0.0016692810031238832,-0.03672829337425158,-0.04258946972450075,-0.03179341997608093,0.00016692810031238833,-0.037244049434213174,-0.03658969128098861,0.6243349343538285,2.728799063100621e-08,0.6243349313735962,0.6243348717689514,0.6243350505828857,2.728799063100621e-09,0.6243349290053823,0.6243349397022746
step59000,59000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9746131408214569,1.3832818296948842e-06,0.9746130704879761,0.974609375,0.9746167063713074,1.383281829694884e-07,0.9746128696982183,0.9746134119446955,-0.025717375584023074,5.2069159610168597e-08,-0.02571738389999377,-0.025717508006524843,-0.025717216314403945,5.20691596101686e-09,-0.025717385789578356,-0.02571736537846779,-0.024870242177163736,0.0023097920409484184,-0.024996445932288884,-0.031008536496721976,-0.017928641805707406,0.00023097920409484186,-0.025322961417189625,-0.024417522937137847,0.6203226906061172,2.9169452910096588e-08,0.6203227043151855,0.6203226447105408,0.6203227639198303,2.916945291009659e-09,0.6203226848889044,0.62032269632333
step61000,61000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.8999050414562225,1.5226369997580565e-06,0.8999050259590149,0.8998997807502747,0.8999101519584656,1.5226369997580566e-07,0.8999047430193706,0.8999053398930744,-0.10547058252399776,2.0464993314956915e-05,-0.1054700464040356,-0.10556446107898376,-0.10538023005340313,2.0464993314956913e-06,-0.1054745936626875,-0.10546657138530802,-0.103342391541122,0.001153656054475325,-0.10323796262456209,-0.10681765246135248,-0.10126741302372394,0.0001153656054475325,-0.10356850812779916,-0.10311627495444484,0.5914592725038529,2.1524131065255286e-08,0.5914592742919922,0.5914592146873474,0.591459333896637,2.1524131065255288e-09,0.5914592682851232,0.5914592767225826
