checkpoint,target_step,interval,selection_index,token_id,token,wikitext_train_count,hidden_size,projection_pairs,full_tail_deviation_rms,full_tail_step_delta_mean,full_tail_step_delta_final,expected_random_2d_capture_ratio,projection_capture_ratio_min,projection_capture_ratio_median,projection_capture_ratio_max
step9000,8500,1000_16000_interp2,0,29104, repetitive,16,512,16,0.14693550765514374,0.04251149669289589,0.03742748498916626,0.0625,0.022118622437119484,0.061870891600847244,0.11175067722797394
step9000,8500,1000_16000_interp2,1,10020, semi,112,512,16,0.162192702293396,0.046948984265327454,0.03960612416267395,0.0625,0.022347744554281235,0.06270591914653778,0.11289852857589722
step9000,8500,1000_16000_interp2,2,1941, evidence,284,512,16,0.10612203925848007,0.030819151550531387,0.02427533082664013,0.0625,0.02243553288280964,0.0618928000330925,0.11244507879018784
step9000,8500,1000_16000_interp2,3,38730, orientations,4,512,16,0.102520652115345,0.029648711904883385,0.026101810857653618,0.0625,0.022169873118400574,0.06222482770681381,0.11221568286418915
step9000,8500,1000_16000_interp2,4,21853, workplace,10,512,16,0.09971214830875397,0.028840841725468636,0.025460507720708847,0.0625,0.0221270602196455,0.06200353428721428,0.11189433932304382
step9000,8500,1000_16000_interp2,5,5631, Govern,13,512,16,0.17874380946159363,0.05169469490647316,0.045666635036468506,0.0625,0.022137338295578957,0.06206340715289116,0.11192985624074936
step9000,8500,1000_16000_interp2,6,30736,corn,3,512,16,0.10510950535535812,0.030513335019350052,0.02393781766295433,0.0625,0.022501837462186813,0.06230669841170311,0.11291606724262238
step9000,8500,1000_16000_interp2,7,1338,lement,18,512,16,0.10583353042602539,0.030610807240009308,0.02700749598443508,0.0625,0.02213919535279274,0.06205468252301216,0.1120176836848259
step10000,10000,local_fine_scan,0,29104, repetitive,16,512,16,7.965721607208252,2.5329575538635254,2.6420910358428955,0.0625,0.028666721656918526,0.06119481474161148,0.10145937651395798
step10000,10000,local_fine_scan,1,10020, semi,112,512,16,7.953986167907715,2.524022102355957,2.3727619647979736,0.0625,0.02833559550344944,0.06264651566743851,0.10219811648130417
step10000,10000,local_fine_scan,2,1941, evidence,284,512,16,7.95894718170166,2.528268814086914,2.48012113571167,0.0625,0.028820300474762917,0.0613335482776165,0.1014675498008728
