active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.672596984775737e-05,direct,1.0,0,64,1193.0496826171875,0.018755337223410606,22,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.78493849793449e-05,direct,1.0,0,64,1193.05078125,0.01479390449821949,23,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.915696915006265e-05,direct,1.0,0,64,1193.0516357421875,0.011667219921946526,24,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.060263305902481e-05,direct,1.0,0,64,1193.05224609375,0.009189927950501442,25,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.261577411554754e-05,direct,1.0,0,64,1193.0528564453125,0.0072489348240196705,26,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.424657815136015e-05,direct,1.0,0,64,1193.05322265625,0.0057314676232635975,27,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.10945314494893e-05,direct,1.0,0,64,1193.0535888671875,0.004505660850554705,28,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.251435065176338e-05,direct,1.0,0,64,1193.0538330078125,0.003553759539499879,29,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.691187395015731e-05,direct,1.0,0,64,1193.053955078125,0.002806165488436818,30,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.730449917493388e-05,direct,1.0,0,64,1193.05419921875,0.0022133702877908945,31,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0030947814229875803,direct,1.0,1,64,3603.091796875,13.451650619506836,0,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0022783009335398674,direct,1.0,1,64,3604.151123046875,10.165755271911621,1,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0017105621518567204,direct,1.0,1,64,3604.9423828125,7.784282684326172,2,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.001306809252128005,direct,1.0,1,64,3605.53662109375,6.0122575759887695,3,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0010117131751030684,direct,1.0,1,64,3605.9853515625,4.6705121994018555,4,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0007883055368438363,direct,1.0,1,64,3606.325439453125,3.6426892280578613,5,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0006367312744259834,direct,1.0,1,64,3606.584716796875,2.8490729331970215,6,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0005194722907617688,direct,1.0,1,64,3606.782958984375,2.23290753364563,7,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00043422766611911356,direct,1.0,1,64,3606.935302734375,1.7526384592056274,8,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
