checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds,proof_pile2_test_loss
step10000,10000,128,6,14290, documented,48,6,1.0134559869766235,1.8771708011627197,15.864716529846191,0.6301685981452465,4.0096223089430065
step10000,10000,128,7,6574, miles,404,7,1.017898678779602,1.8781095743179321,15.89078426361084,0.5974908098578453,4.0096223089430065
step10000,10000,192,0,21825, clones,2,0,1.0306700468063354,1.792670726776123,15.611504554748535,0.5898535363376141,4.0096223089430065
step10000,10000,192,1,46808, trustworthy,3,1,0.9974559545516968,1.7533217668533325,15.305068016052246,0.5410930216312408,4.0096223089430065
step10000,10000,192,2,23778, motive,8,2,0.9866397976875305,1.8212326765060425,15.500033378601074,0.48274221271276474,4.0096223089430065
step10000,10000,192,3,42548, generosity,8,3,0.9682644009590149,1.7876676321029663,15.243733406066895,0.534288227558136,4.0096223089430065
step10000,10000,192,4,29254, critique,18,4,0.9764140248298645,1.8009753227233887,15.352468490600586,0.5450902692973614,4.0096223089430065
step10000,10000,192,5,19211, cabinet,33,5,0.9704557657241821,1.7912529706954956,15.268630981445312,0.560815904289484,4.0096223089430065
step10000,10000,192,6,14290, documented,48,6,1.0442579984664917,1.8324812650680542,15.867982864379883,0.5528624579310417,4.0096223089430065
step10000,10000,192,7,6574, miles,404,7,1.0437999963760376,1.826403021812439,15.841443061828613,0.5215729363262653,4.0096223089430065
step10000,10000,256,0,21825, clones,2,0,0.9931913018226624,1.7481216192245483,15.244181632995605,0.5517140962183475,4.0096223089430065
step10000,10000,256,1,46808, trustworthy,3,1,0.9676445126533508,1.734445333480835,15.000614166259766,0.5215975344181061,4.0096223089430065
step10000,10000,256,2,23778, motive,8,2,1.0233495235443115,1.8679405450820923,15.877177238464355,0.49900951981544495,4.0096223089430065
step10000,10000,256,3,42548, generosity,8,3,0.9987794160842896,1.8523470163345337,15.703737258911133,0.5043921209871769,4.0096223089430065
step10000,10000,256,4,29254, critique,18,4,1.0109611749649048,1.8629323244094849,15.790318489074707,0.5296335034072399,4.0096223089430065
step10000,10000,256,5,19211, cabinet,33,5,1.0023161172866821,1.8561357259750366,15.72966194152832,0.5225364603102207,4.0096223089430065
step10000,10000,256,6,14290, documented,48,6,1.0134631395339966,1.7707587480545044,15.459518432617188,0.5339329950511456,4.0096223089430065
step10000,10000,256,7,6574, miles,404,7,1.0093183517456055,1.7660853862762451,15.418896675109863,0.524611447006464,4.0096223089430065
step10000,10000,320,0,21825, clones,2,0,0.9659374952316284,1.7387458086013794,15.000627517700195,0.5472286529839039,4.0096223089430065
step10000,10000,320,1,46808, trustworthy,3,1,0.9636053442955017,1.7788249254226685,15.183879852294922,0.540105264633894,4.0096223089430065
step10000,10000,320,2,23778, motive,8,2,1.0422239303588867,1.818595051765442,15.797039031982422,0.5309796333312988,4.0096223089430065
step10000,10000,320,3,42548, generosity,8,3,1.0393517017364502,1.8516217470169067,15.906570434570312,0.5206758491694927,4.0096223089430065
step10000,10000,320,4,29254, critique,18,4,1.0433344841003418,1.837528109550476,15.878130912780762,0.4855462685227394,4.0096223089430065
step10000,10000,320,5,19211, cabinet,33,5,1.040797472000122,1.848122477531433,15.902749061584473,0.5298758968710899,4.0096223089430065
step10000,10000,320,6,14290, documented,48,6,0.975551962852478,1.7338676452636719,15.075760841369629,0.5453566387295723,4.0096223089430065
