checkpoint,training_step,dynamic_step,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,operator_norm_2_median,operator_norm_2_min,operator_norm_2_max,jacobian_frobenius_norm_median,jacobian_frobenius_norm_min,jacobian_frobenius_norm_max,proof_pile2_test_loss,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max
step0,0,768,8,1.0243425965309143,1.0086461305618286,1.0729939937591553,1.3529471158981323,1.3118205070495605,1.3706814050674438,15.556821823120117,15.198949813842773,15.759228706359863,11.087031924535358,0.6875208878024439,0.6717050300176399,0.6964660927835475
step0,0,832,8,1.0244427919387817,0.9869058132171631,1.0824800729751587,1.3360881805419922,1.290421724319458,1.3900202512741089,15.453327655792236,15.034306526184082,15.87403678894043,11.087031924535358,0.682947048581769,0.6644287559438706,0.7015399411415316
step0,0,896,8,1.0466277599334717,1.028178334236145,1.0647284984588623,1.3595027327537537,1.3220551013946533,1.3872461318969727,15.621359825134277,15.232219696044922,15.875916481018066,11.087031924535358,0.6903730914817217,0.6731753649747909,0.7016230125799465
step0,0,960,8,1.0137760639190674,0.9797801971435547,1.0785834789276123,1.3207671642303467,1.266217589378357,1.3703242540359497,15.241448402404785,14.775808334350586,15.70920181274414,11.087031924535358,0.6735832200278309,0.6530046419207503,0.6942551955512116
step0,0,1024,8,1.017610251903534,0.9664247632026672,1.0799273252487183,1.3274276852607727,1.2702381610870361,1.39613938331604,15.328144073486328,14.898216247558594,15.853099822998047,11.087031924535358,0.6774146635854107,0.6584143585145176,0.7006146492293234
step2000,2000,0,8,22.402040481567383,19.74367904663086,27.250181198120117,114.93914031982422,88.82799530029297,135.20582580566406,476.6217803955078,427.496337890625,567.2444458007812,4.346627515459818,21.063905811179314,18.892847465929783,25.06889963850859
step2000,2000,64,8,0.9886465668678284,0.9841678738594055,1.0049453973770142,1.4607422947883606,1.45229971408844,1.4689409732818604,14.57521390914917,14.499032974243164,14.619731903076172,4.346627515459818,0.6441395370252416,0.6407727835459186,0.6461069729871544
step2000,2000,128,8,0.9870278835296631,0.9846556186676025,0.9889981150627136,1.4581092596054077,1.4537415504455566,1.4610729217529297,14.558650016784668,14.532485961914062,14.56861400604248,4.346627515459818,0.6434075094868801,0.6422512106979837,0.6438478597601219
step2000,2000,192,8,0.9862971007823944,0.985291600227356,0.9880952835083008,1.4594138860702515,1.456598162651062,1.4606996774673462,14.561897277832031,14.55051326751709,14.566228866577148,4.346627515459818,0.6435510195060598,0.6430479125753852,0.6437424504919962
step2000,2000,256,8,0.9858974516391754,0.9854804277420044,0.9868814945220947,1.4599323868751526,1.4586176872253418,1.460462212562561,14.563826084136963,14.559098243713379,14.565539360046387,4.346627515459818,0.643636261507173,0.6434273185056802,0.6437119783205228
step2000,2000,320,8,0.9857283532619476,0.9855625629425049,0.9861600399017334,1.4601482152938843,1.4596192836761475,1.4603465795516968,14.564574241638184,14.562688827514648,14.565250396728516,4.346627515459818,0.6436693257098298,0.6435860013903237,0.643699207825424
step2000,2000,384,8,0.9856561720371246,0.9855884909629822,0.985837459564209,1.4602416157722473,1.460018277168274,1.4603291749954224,14.564866542816162,14.564122200012207,14.565133094787598,4.346627515459818,0.6436822437188984,0.6436493481036356,0.6436940237630572
step2000,2000,448,8,0.985627293586731,0.9856013655662537,0.9856998324394226,1.4602795243263245,1.4601904153823853,1.4603402614593506,14.564981937408447,14.564687728881836,14.565088272094727,4.346627515459818,0.6436873434875682,0.6436743411848026,0.6436920428611772
