checkpoint,selection_index,token_id,token,wikitext_train_count,orbit_diameter_approx,orbit_pairwise_d95,orbit_pairwise_rms,median_state_norm,numerical_floor,normalization_scale,classification,estimated_period,best_nontrivial_period,best_nontrivial_normalized_p95,p1_normalized_p95
step21000,2,1941, evidence,284,73.07559204101562,64.45091247558594,52.017913818359375,46.7099494934082,4.454607915249653e-05,64.45091247558594,nonperiodic_or_unresolved,,2,0.23755191266536713,0.12180736660957336
step21000,3,38730, orientations,4,73.72113037109375,65.59136962890625,52.216941833496094,46.74518966674805,4.4579686800716445e-05,65.59136962890625,nonperiodic_or_unresolved,,2,0.24013501405715942,0.12335219979286194
step29000,0,29104, repetitive,16,30.249345779418945,29.23688507080078,20.682838439941406,51.402565002441406,4.902130604023114e-05,29.23688507080078,nonperiodic_or_unresolved,,100,0.010596546344459057,0.13184848427772522
step29000,1,10020, semi,112,30.242055892944336,29.26943588256836,20.55415916442871,51.400856018066406,4.901967622572556e-05,29.26943588256836,nonperiodic_or_unresolved,,100,0.010579888708889484,0.13162867724895477
step29000,2,1941, evidence,284,30.251646041870117,29.272397994995117,20.712114334106445,51.400630950927734,4.901946158497594e-05,29.272397994995117,nonperiodic_or_unresolved,,100,0.010584220290184021,0.13164450228214264
step29000,3,38730, orientations,4,30.24896812438965,29.3652400970459,20.6475772857666,51.40114974975586,4.901995635009371e-05,29.3652400970459,nonperiodic_or_unresolved,,100,0.010544129647314548,0.13119599223136902
step37000,0,29104, repetitive,16,49.80817794799805,38.11112976074219,24.108299255371094,54.62300109863281,5.209255323279649e-05,38.11112976074219,nonperiodic_or_unresolved,,2,0.2049483209848404,0.10297847539186478
step37000,1,10020, semi,112,50.0146598815918,37.23102569580078,24.030046463012695,54.63955307006836,5.210833842284046e-05,37.23102569580078,nonperiodic_or_unresolved,,2,0.21275098621845245,0.10760429501533508
step37000,2,1941, evidence,284,51.26844787597656,37.94764709472656,24.338523864746094,54.5699577331543,5.204196713748388e-05,37.94764709472656,nonperiodic_or_unresolved,,2,0.20544616878032684,0.10417713224887848
step37000,3,38730, orientations,4,50.60472106933594,37.354000091552734,23.893705368041992,54.54667282104492,5.201976091484539e-05,37.354000091552734,nonperiodic_or_unresolved,,2,0.21569335460662842,0.10850764811038971
step45000,0,29104, repetitive,16,88.601806640625,85.41545104980469,60.33884811401367,59.49002456665039,5.673410851159133e-05,85.41545104980469,approximate_cycle_candidate,127,127,0.0042035928927361965,0.16662950813770294
step45000,1,10020, semi,112,88.54653930664062,85.55854034423828,60.49008560180664,59.46966552734375,5.671469261869788e-05,85.55854034423828,approximate_cycle_candidate,127,127,0.00408701179549098,0.16641105711460114
step45000,2,1941, evidence,284,88.57754516601562,85.41242218017578,60.761924743652344,59.48942565917969,5.673353734891862e-05,85.41242218017578,approximate_cycle_candidate,127,127,0.004097604658454657,0.16677379608154297
step45000,3,38730, orientations,4,88.59882354736328,85.43106079101562,60.4306640625,59.48698043823242,5.673120540450327e-05,85.43106079101562,approximate_cycle_candidate,127,127,0.004055117256939411,0.16656027734279633
step53000,0,29104, repetitive,16,82.9553451538086,76.51612854003906,53.17900466918945,59.34678649902344,5.6597506045363843e-05,76.51612854003906,nonperiodic_or_unresolved,,150,0.022282695397734642,0.1349644958972931
step53000,1,10020, semi,112,82.9771957397461,76.77803039550781,52.938175201416016,59.314266204833984,5.6566492276033387e-05,76.77803039550781,nonperiodic_or_unresolved,,150,0.021919623017311096,0.1343454271554947
step53000,2,1941, evidence,284,82.97676086425781,76.44918060302734,52.82789611816406,59.34508514404297,5.659588350681588e-05,76.44918060302734,nonperiodic_or_unresolved,,150,0.021667661145329475,0.1349235624074936
step53000,3,38730, orientations,4,82.975830078125,76.49946594238281,52.66275405883789,59.36198425292969,5.66119997529313e-05,76.49946594238281,nonperiodic_or_unresolved,,150,0.021086301654577255,0.13462141156196594
step61000,0,29104, repetitive,16,3.012718298123218e-05,2.194285480072722e-05,1.895089189929422e-05,69.90785217285156,6.666932313237339e-05,6.666932313237339e-05,numerical_fixed_point,1,2,0.22498290240764618,0.1757194697856903
step61000,1,10020, semi,112,3.074544292758219e-05,2.225508251285646e-05,1.8993681806023233e-05,69.90785217285156,6.666932313237339e-05,6.666932313237339e-05,numerical_fixed_point,1,2,0.22578421235084534,0.1762169748544693
step61000,2,1941, evidence,284,3.157723040203564e-05,2.2895304937264882e-05,1.9412329493206926e-05,69.90785217285156,6.666932313237339e-05,6.666932313237339e-05,numerical_fixed_point,1,2,0.22754241526126862,0.1765764057636261
step61000,3,38730, orientations,4,3.0102395612630062e-05,2.255893195979297e-05,1.9264725779066794e-05,69.90785217285156,6.666932313237339e-05,6.666932313237339e-05,numerical_fixed_point,1,2,0.2260294258594513,0.1765153408050537
step69000,0,29104, repetitive,16,2.6606445317156613e-05,1.7434345863875933e-05,1.422833520337008e-05,102.74535369873047,9.798560495255515e-05,9.798560495255515e-05,numerical_fixed_point,1,2,0.14188824594020844,0.11803333461284637
step69000,1,10020, semi,112,2.2845448256703094e-05,1.773717303876765e-05,1.4462393664871342e-05,102.74535369873047,9.798560495255515e-05,9.798560495255515e-05,numerical_fixed_point,1,2,0.14293794333934784,0.12134615331888199
step69000,2,1941, evidence,284,2.3732476620352827e-05,1.8127380826626904e-05,1.4501652913168073e-05,102.74535369873047,9.798560495255515e-05,9.798560495255515e-05,numerical_fixed_point,1,2,0.14261674880981445,0.12127343565225601
step69000,3,38730, orientations,4,4.611779877450317e-05,1.917755616887007e-05,1.4899084817443509e-05,102.74535369873047,9.798560495255515e-05,9.798560495255515e-05,numerical_fixed_point,1,2,0.14346759021282196,0.12496037036180496
step77000,0,29104, repetitive,16,1.8703734895098023e-05,1.3380110431171488e-05,1.0727970220614225e-05,169.70249938964844,0.00016184091509785503,0.00016184091509785503,numerical_fixed_point,1,2,0.06190042570233345,0.051506198942661285
step77000,1,10020, semi,112,1.821722798922565e-05,1.3332935850485228e-05,1.0725400898081716e-05,169.70249938964844,0.00016184091509785503,0.00016184091509785503,numerical_fixed_point,1,2,0.06283506006002426,0.051546428352594376
step77000,2,1941, evidence,284,1.98560519493185e-05,1.3546166883315891e-05,1.0861064765776973e-05,169.70249938964844,0.00016184091509785503,0.00016184091509785503,numerical_fixed_point,1,2,0.062316857278347015,0.05121394991874695
step77000,3,38730, orientations,4,1.9315224562888034e-05,1.3375934940995649e-05,1.070826419891091e-05,169.70249938964844,0.00016184091509785503,0.00016184091509785503,numerical_fixed_point,1,2,0.061822310090065,0.05105234682559967
