checkpoint,window_start,window_end,window_transitions,window_states,full_dimensional_radius_rms,full_dimensional_radius_p95,full_dimensional_radius_max,projection_2d_radius_rms,projection_2d_radius_p95,projection_2d_radius_max
step13000,512,640,128,129,1.2606385130258962e-05,1.5379419975891886e-05,1.7156262658863646e-05,1.010308855914616e-06,1.6856584168674688e-06,2.4807524588252385e-06
step13000,640,768,128,129,1.2631837970278412e-05,1.515272648971966e-05,1.7656884771270695e-05,1.0943127673606928e-06,1.7323997190183216e-06,2.8399834055718867e-06
step13000,768,896,128,129,1.2994880417507778e-05,1.532244249968627e-05,1.738166735009947e-05,1.0515842687528496e-06,1.7693974954968162e-06,2.6217485479408718e-06
step13000,896,1024,128,129,1.2498839170461069e-05,1.4569244552413395e-05,1.6504747075681015e-05,1.0174392083466393e-06,1.77165867656701e-06,2.3513518058513236e-06
step13000,1024,1152,128,129,1.2176832593522953e-05,1.4594399818047901e-05,1.6297087303804238e-05,9.641543728859714e-07,1.6593981553152025e-06,2.7411114600327967e-06
step13000,1152,1280,128,129,1.2463227874231744e-05,1.5080139311522213e-05,1.681637763123456e-05,1.0522394100411697e-06,1.8974810553475582e-06,2.6742807351512857e-06
step13000,1280,1408,128,129,1.2749724684580685e-05,1.534920151093676e-05,1.884719550741995e-05,1.0684157647897464e-06,1.862946328850127e-06,2.727419028219456e-06
step13000,1408,1536,128,129,1.284221620601737e-05,1.5303105195208568e-05,1.70166710188382e-05,1.0261088423822898e-06,1.815268551706648e-06,2.557556447636258e-06
step13000,1536,1664,128,129,1.2184395914227157e-05,1.4468126251305506e-05,1.603882340578694e-05,9.77249730014443e-07,1.6883346188937561e-06,2.8056574755766635e-06
step13000,1664,1792,128,129,1.2972602166700318e-05,1.5225159464501985e-05,1.7955820552084057e-05,1.0202056532038269e-06,1.8331055825057517e-06,2.7883548383951647e-06
step13000,1792,1920,128,129,1.2709441305194976e-05,1.5367691344286137e-05,1.8533706631970894e-05,1.0688019484302547e-06,1.7630910755128992e-06,2.7366429017117214e-06
step13000,1920,2048,128,129,1.3321728178360946e-05,1.6011610742433087e-05,1.779056828845483e-05,1.0461682649344937e-06,1.844243803352869e-06,2.94384331425468e-06
step16000,0,512,512,513,11.495182065442778,30.109226138307324,57.363463761469546,0.6038675839050529,1.5389197538083916,4.188959741338417
step16000,512,640,128,129,0.014867177096181973,0.03235337125089491,0.048937689523272404,0.0005823558317921332,0.0012201505776018346,0.0023208198321086108
step16000,640,768,128,129,0.003113676622480228,0.006930872556528566,0.0088685659751239,0.00012525907020147277,0.0002726640050119242,0.0004806509490598761
step16000,768,896,128,129,0.0007285234860709279,0.0015230718462625199,0.002409414270857948,3.0822594302838594e-05,6.708163378991084e-05,0.0001143371232275921
