checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,operator_norm_2,jacobian_frobenius_norm,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint,normalized_frobenius_norm,lyapunov_exponent_0_1024,geometric_tangent_factor_per_step,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,geometric_tangent_factor_last_256
step57000,57000,1024,10,38617,sidered,2,1,190905176,0.9630228281021118,0.9630228281021118,1.7824339866638184,13.86224365234375,67.0009536743164,4.25754551962018,5.186337776482105,0.6126304055645274,0.0021993439373288906,1.002201764268261,768,1024,0.0021371031157094876,1.002139388348209
step57000,57000,1024,11,9815,second,3,1,190905176,0.9947941303253174,0.9947941303253174,2.106252431869507,14.229509353637695,62.50529098510742,4.540996264666319,5.186337776482105,0.6288614098071638,0.003436057148610661,1.003441967160082,768,1024,-0.005203694437031387,0.9948098213267347
step57000,57000,1024,12,21302, diagrams,2,1,190905176,0.9670233726501465,0.9670233726501465,1.800652027130127,13.883996963500977,66.70123291015625,4.919129226356745,5.186337776482105,0.6135917751790609,0.0024631626689023156,1.0024661987463415,768,1024,0.0020341629280767543,1.0020362332410324
step57000,57000,1024,13,25566, permeability,2,1,190905176,1.1337263584136963,1.1337263584136963,4.6048455238342285,13.0991792678833,80.27313232421875,4.460754130035639,5.186337776482105,0.5789074055186573,0.003229580596290051,1.0032348013104302,768,1024,0.005885965888399064,1.0059033222218383
step57000,57000,1024,14,12838, LE,2,1,190905176,0.9512620568275452,0.9512620568275452,1.7531068325042725,13.773741722106934,67.72579956054688,6.075901508331299,5.186337776482105,0.6087191358758679,0.0028722874861141297,1.0028764164560655,768,1024,0.0033641270449797193,1.0033697920712084
step57000,57000,1024,15,36849,urdy,2,1,190905176,1.0152478218078613,1.0152478218078613,4.582348346710205,13.004390716552734,80.00856018066406,3.9985900297760963,5.186337776482105,0.574718303804614,0.0036516993637701564,1.0036583749411525,768,1024,0.006973530144320063,1.006997901824936
step57000,57000,1024,16,33930, 510,2,1,190905176,0.944435715675354,0.944435715675354,1.7398213148117065,13.298885345458984,73.76045989990234,4.62168038263917,5.186337776482105,0.5877332506247781,0.0013581494790363715,1.0013590721817156,768,1024,0.008716257779540628,1.0087543549622229
step57000,57000,1024,17,7776,ochem,2,1,190905176,0.946463942527771,0.946463942527771,1.7523083686828613,13.270787239074707,74.59495544433594,2.280737016350031,5.186337776482105,0.5864914780271016,0.005781705420080186,1.0057984517373977,768,1024,0.008301538822023157,1.0083360921444966
step57000,57000,1024,18,32587, phyt,2,1,190905176,0.9660807251930237,0.9660807251930237,1.8306676149368286,13.869543075561523,66.07527160644531,3.3716392815113068,5.186337776482105,0.6129529975430298,0.0013560735911755703,1.0013569934747308,768,1024,0.0014323108488222842,1.0014333370959159
step57000,57000,1024,19,48174, filings,1,1,190905176,0.9596897959709167,0.9596897959709167,1.7734661102294922,13.84049129486084,67.1759262084961,3.2357075177133083,5.186337776482105,0.6116690780968425,0.0007086480028229264,1.0007088991531412,768,1024,0.003140757380474022,1.0031456947265844
