checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,jacobian_frobenius_norm,normalized_frobenius_norm,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,lyapunov_exponent_0_1024,geometric_tangent_factor_last_256,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint
step9000,9000,1024,15,36849,urdy,2,1,190905176,0.9945184588432312,0.9675352573394775,15.720992088317871,0.6947762370109558,768,1024,-0.005574217200271023,-0.003351402898280386,0.9944412899216922,38.82448196411133,0.11217571794986725,46.76197325065732
step9000,9000,1024,16,33930, 510,2,1,190905176,0.994286298751831,0.9675920605659485,15.719573020935059,0.6947135329246521,768,1024,-0.005314563521023862,-0.0034053892810677615,0.9946995337869496,38.82139587402344,0.118241086602211,46.76197325065732
step9000,9000,1024,17,7776,ochem,2,1,190905176,0.99439936876297,0.9675232172012329,15.719788551330566,0.6947230696678162,768,1024,-0.005322213022313334,-0.003072288340330361,0.9946919248606856,38.82282638549805,0.12734198197722435,46.76197325065732
step9000,9000,1024,18,32587, phyt,2,1,190905176,0.9944730401039124,0.9673502445220947,15.718581199645996,0.6946697235107422,768,1024,-0.005531691893329483,-0.003303202699799318,0.9944835797419689,38.82373046875,0.122695442289114,46.76197325065732
step9000,9000,1024,19,48174, filings,1,1,190905176,0.9943515658378601,0.9674689769744873,15.718762397766113,0.6946777105331421,768,1024,-0.005531257565426695,-0.002454598615110779,0.9944840116740302,38.8221549987793,0.12216587737202644,46.76197325065732
step9000,9000,1024,20,40493, helical,4,2,190905176,0.9942271709442139,0.9674996733665466,15.717975616455078,0.694642961025238,768,1024,-0.0053401886630354565,-0.003248537013073277,0.9946740447967184,38.82048797607422,0.12000849470496178,46.76197325065732
step9000,9000,1024,21,36039, interplay,4,2,190905176,0.9944080710411072,0.9674996137619019,15.719642639160156,0.6947166323661804,768,1024,-0.005914780680008853,-0.0023898396162898477,0.9941026771984379,38.82295608520508,0.1129588782787323,46.76197325065732
step9000,9000,1024,22,11818,cies,4,2,190905176,0.9945598840713501,0.9675470590591431,15.721497535705566,0.6947985887527466,768,1024,-0.00569745910490703,-0.004090347940959462,0.9943187406348324,38.82503128051758,0.12426669150590897,46.76197325065732
step9000,9000,1024,23,23007, harmonic,3,2,190905176,0.9943196773529053,0.9674386382102966,15.71821117401123,0.694653332233429,768,1024,-0.005923697848351675,-0.0030571305346247415,0.9940938126570387,38.82176208496094,0.12185303494334221,46.76197325065732
step9000,9000,1024,24,49192, inactivated,3,2,190905176,0.9944692850112915,0.967409610748291,15.719196319580078,0.6946969032287598,768,1024,-0.00580559806631168,-0.002113265767721994,0.9942112218525045,38.82371139526367,0.11635302379727364,46.76197325065732
step9000,9000,1024,25,49108, Maintenance,3,2,190905176,0.9942300915718079,0.9674551486968994,15.717551231384277,0.6946241855621338,768,1024,-0.005927754182342747,-0.004020224907194661,0.9940897802886944,38.820526123046875,0.12029626220464706,46.76197325065732
step9000,9000,1024,26,32752, pend,3,2,190905176,0.9942898750305176,0.9674213528633118,15.717683792114258,0.6946300268173218,768,1024,-0.005435535301620755,-0.0035539609398689636,0.9945792104911969,38.82125473022461,0.11730432510375977,46.76197325065732
step9000,9000,1024,27,37375, Pretty,4,2,190905176,0.9945143461227417,0.9673490524291992,15.718905448913574,0.6946840286254883,768,1024,-0.0058143155107934046,-0.0025611069093249084,0.9942025549091518,38.82426071166992,0.11733904853463173,46.76197325065732
step9000,9000,1024,28,42178, 580,4,2,190905176,0.99424147605896,0.9675641059875488,15.718814849853516,0.6946800351142883,768,1024,-0.005881964765910635,-0.0054814751540638905,0.9941353001217703,38.820743560791016,0.12522312626242638,46.76197325065732
step9000,9000,1024,29,2775,CH,4,2,190905176,0.9942188858985901,0.9675949811935425,15.718996047973633,0.6946880221366882,768,1024,-0.005831664303732594,-0.004599104174130515,0.994185306844504,38.820465087890625,0.12069537490606308,46.76197325065732
step9000,9000,1024,30,8022,PI,7,3,190905176,0.9945913553237915,0.9674107432365417,15.720266342163086,0.6947441697120667,768,1024,-0.005472161905353943,-0.003780918763830008,0.9945427830996829,38.825347900390625,0.10927997529506683,46.76197325065732
step9000,9000,1024,31,29209, shaping,6,3,190905176,0.9943951964378357,0.9675283432006836,15.719829559326172,0.6947248578071594,768,1024,-0.005334830711538917,-0.003937413306506697,0.9946793742262826,38.82281494140625,0.1093055009841919,46.76197325065732
step9000,9000,1024,32,34666, exams,5,3,190905176,0.994396448135376,0.9673570990562439,15.717981338500977,0.6946431994438171,768,1024,-0.005746471221453444,-0.0031831984423832302,0.9942700081630828,38.82270431518555,0.12016627192497253,46.76197325065732
step9000,9000,1024,33,14134,ilipp,6,3,190905176,0.9943460822105408,0.9675246477127075,15.7193603515625,0.6947041153907776,768,1024,-0.005365917082249697,-0.0021163231942924053,0.9946484537351226,38.822147369384766,0.10967306420207024,46.76197325065732
step9000,9000,1024,34,33132,essential,6,3,190905176,0.9945170879364014,0.96750807762146,15.720670700073242,0.6947620511054993,768,1024,-0.005524975541524599,-0.0036797458132710533,0.994490259065985,38.82441329956055,0.11454368010163307,46.76197325065732
step9000,9000,1024,35,29405, Manufact,6,3,190905176,0.9942546486854553,0.9674069881439209,15.717204093933105,0.6946088671684265,768,1024,-0.005869582005853487,-0.004103069163773417,0.9941476103368732,38.82077407836914,0.10833614319562912,46.76197325065732
