checkpoint,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4,vector_kind,vector_l2,state_l2,relative_update_l2,projection_seed,projection_sha256
step58000,2,2,19211, cabinet,33,5,1.1699076890945435,1.3592015504837036,-4.574612140655518,-3.6673784255981445,residual_internal,76.81242370605469,62.45658493041992,1.229853085813577,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,2,3,6574, miles,404,7,-1.8202593326568604,-1.9622819423675537,-4.228132247924805,-3.636507034301758,residual_internal,62.52559280395508,71.70408630371094,0.8719948335875966,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,3,0,21825, clones,2,0,-0.9442276954650879,1.7982590198516846,-3.5303895473480225,-3.8568224906921387,residual_internal,61.039310455322266,73.21270751953125,0.8337256266480592,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,3,1,23778, motive,8,2,-0.4047732353210449,1.0873112678527832,-3.5038082599639893,-2.9661648273468018,residual_internal,66.21614074707031,73.62310028076172,0.8993935394537181,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,3,2,19211, cabinet,33,5,1.3821914196014404,0.747119665145874,-4.754513263702393,-3.376347780227661,residual_internal,77.16332244873047,67.61809539794922,1.1411637963862369,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,3,3,6574, miles,404,7,-0.44883838295936584,-2.2480478286743164,-4.852510452270508,-5.701353073120117,residual_internal,68.85259246826172,76.76741027832031,0.8968987258868911,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,4,0,21825, clones,2,0,-0.6547870635986328,1.6248278617858887,-3.20479154586792,-4.398013591766357,residual_internal,65.6515884399414,77.31644439697266,0.849128396319684,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,4,1,23778, motive,8,2,-0.11774693429470062,1.2620337009429932,-3.096168279647827,-2.81550931930542,residual_internal,75.35741424560547,74.67240905761719,1.009173471120501,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,4,2,19211, cabinet,33,5,2.434631109237671,0.1853765845298767,-3.8890674114227295,-3.378823757171631,residual_internal,77.78438568115234,67.7371826171875,1.1483262615267893,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,4,3,6574, miles,404,7,0.1215158998966217,-1.865553617477417,-3.3083457946777344,-6.732742786407471,residual_internal,74.39131164550781,73.7127456665039,1.009205544751703,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,5,0,21825, clones,2,0,0.11668454110622406,1.446687936782837,-2.7180488109588623,-5.595269680023193,residual_internal,73.93788146972656,76.79222869873047,0.9628302592935281,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,5,1,23778, motive,8,2,1.1755926609039307,1.1860929727554321,-1.8858416080474854,-3.3390302658081055,residual_internal,77.132568359375,71.89878845214844,1.0727937148858893,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
